Term_Translated,Campus,Subject,Subject_Name,Course_Title,Description,Units,Units_Min,Units_Max,Prerequisites,Cross_Listing,Course Name
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Linear Algebra for Engineers,"Applications-oriented course on complex numbers and linear algebra integrating Matlab as a computational support tool. Introduction to complex algebra. Vectors, bases and transformations, matrix algebra, solutions of linear systems, inverses and determinants, eigenvalues and eigenvectors, and geometric transformations. Students cannot receive credit for this course and MATH 21. (Formerly Mathematical Methods for Engineers I.)",5 units,5,5,Prerequisite(s): score of 400 or higher on the mathematics placement examination (MPE) or MATH 3 or AM 11A or MATH 11A or MATH 19A or MATH 20A.,,10
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Linear Algebra for Engineers,"Applications-oriented course on complex numbers and linear algebra integrating Matlab as a computational support tool. Introduction to complex algebra. Vectors, bases and transformations, matrix algebra, solutions of linear systems, inverses and determinants, eigenvalues and eigenvectors, and geometric transformations. Students cannot receive credit for this course and MATH 21. (Formerly Mathematical Methods for Engineers I.)",5 units,5,5,Prerequisite(s): score of 400 or higher on the mathematics placement examination (MPE) or MATH 3 or AM 11A or MATH 11A or MATH 19A or MATH 20A.,,10
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Mathematical Methods for Economists I,"Introduction to mathematical tools and reasoning, with applications to economics. Topics are drawn from differential calculus in one variable and include limits, continuity, differentiation, elasticity, Taylor polynomials, and optimization. Students cannot receive credit for both this course and MATH 11A or MATH 19A or AM 15A or ECON 11A. (AM 11A formerly AMS 11A.)",5 units,5,5,"Students who have already taken MATH 11A or MATH 19A should not take this course. Prerequisite(s): score of 300 or higher on the mathematics placement examination (MPE), AM 3 or AM 6, or MATH 3.",,11A
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Mathematical Methods for Economists II,"Mathematical tools and reasoning, with applications to economics. Topics are drawn from multivariable differential calculus and single variable integral calculus, and include partial derivatives, linear and quadratic approximation, optimization with and without constraints, Lagrange multipliers, definite and indefinite integrals, and elementary differential equations. Students cannot receive credit for both this course and MATH 11B or MATH 19B or ECON 11B (AM 11B formerly AMS 11B.)",5 units,5,5,"Prerequisite(s): AM 11A, or ECON 11A, or MATH 11A, or MATH 19A, or MATH 20A.",,11B
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Ordinary Differential Equations for Engineers,Applications-oriented class on ordinary differential equations (ODEs) and systems of ODEs using Matlab as a computational support tool. Covers linear ODEs and systems of linear ODEs; nonlinear ODEs using substitution and Laplace transforms; phase-plane analysis; introduction to numerical methods. Students cannot receive credit for this course and MATH 24. (Formerly Mathematical Methods for Engineers II.),5 units,5,5,"Prerequisite(s): MATH 19B or MATH 20B, and AM 10 or MATH 21.",,20
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Multivariate Calculus for Engineers,"Advanced multivariate calculus for engineering majors. Coordinate systems, parametric curves, and surfaces; partial derivatives, gradient, Taylor expansion, stationary points, constrained optimization; integrals in multiple dimensions; integrals over curves and surfaces. Applications to engineering form an integral part of the course. Students cannot receive credit for this course and for MATH 22 or MATH 23A.",5 units,5,5,Prerequisite(s): AM 10 or MATH 21; MATH 19B or MATH 20B.,,30
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Introduction to Partial Differential Equations,"Teaches analytical methods for the solution of first- and second-order PDEs of two variables, including: the method of characteristics for first-order PDEs; separation of variables for the heat, wave, and Laplace’s equations in a finite or periodic Cartesian domain; homogeneous vs. forced problem; Sturm-Liouville theory; polar and spherical coordinate systems. Each method is illustrated by solving PDEs originating from real-life applications. Students cannot receive credit for this course and AM 212A.",5 units,5,5,Prerequisite(s): AM 100 or by permission of the instructor.,,112
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Computational Methods and Applications,"Applications of computational methods to solving mathematical problems using Matlab. Topics include solution of nonlinear equations, linear systems, differential equations, sparse matrix solver, and eigenvalue problems.",5 units,5,5,Prerequisite(s): AM 10 or MATH 21; and AM 20 or MATH 24.,,147
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Introduction to Scientific Machine Learning,"Introduction to scientific machine learning covering dimension reduction techniques for scientific data, modern methods in sparse regression and compressed sensing, deep neural networks for modeling real-life systems, and neural ordinary differential equations.",5 units,5,5,"Prerequisite(s): AM 20 and AM 30, or MATH 24, or PHYS 116A, and AM 129 or CSE 30. Enrollment is restricted to junior and senior students, and graduate students in applied mathematics. Prerequisite courses waived for graduate students.",,160
Winter Quarter 2226,UCSC,AM,Applied Mathematics,Mathematical Modeling 1,"Introduction to mathematical modeling emphasizing model construction, tool selection, methods of solution, critical analysis of the results, and professional-level presentation of the results (written and oral). Focuses on problems that can be solved using only analytical tools, and simple Matlab routines. Applications are drawn from a variety of fields such as physics, biology, engineering, and economics.",5 units,5,5,Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements. CSE 20 or CSE 13S or CSE 30 or ECE 13 or ASTR 19; and AM 30 or MATH 23B; and AM 114; and STAT 131 or CSE 107; or by instructor permission. Enrollment is restricted to juniors and seniors majoring in applied mathematics and proposed applied mathematics majors.,,170A
